router_ip,ups_ip
10.128.96.61,10.131.95.66
10.128.95.68,10.131.106.122
10.128.95.3,10.131.93.78
10.128.95.5,10.131.93.86
10.128.96.13,10.131.94.130
10.128.96.54,10.131.95.38
10.128.95.1,10.131.93.70
10.128.95.29,10.131.93.182
10.128.95.39,10.131.93.222
10.128.96.73,10.131.95.114
10.128.96.50,10.131.95.22
10.128.96.37,10.131.94.226
10.128.96.42,10.131.94.246
10.128.96.85,10.131.101.190
10.128.96.1,10.131.94.82
10.128.96.7,10.131.94.106
10.128.96.79,10.131.95.138
10.128.96.18,10.131.94.150
10.128.96.58,10.131.95.54
10.128.96.35,10.131.94.218
10.128.96.77,10.131.95.130
10.128.96.76,10.131.95.126
10.128.96.14,10.131.94.134
10.128.96.10,10.131.94.118
10.128.96.63,10.131.95.74
10.128.96.66,10.131.95.86
10.128.96.45,10.131.95.2
10.128.96.21,10.131.94.162
10.128.96.2,10.131.94.86
10.128.96.47,10.131.95.10
10.128.96.88,10.131.101.202
10.128.96.78,10.131.95.134
10.128.96.20,10.131.94.158
10.128.96.33,10.131.94.210
10.128.96.70,10.131.95.102
10.128.96.69,10.131.95.98
10.128.96.51,10.131.95.26
10.128.96.32,10.131.94.206
10.128.82.9,10.131.84.194
10.128.96.83,10.131.101.182
10.128.0.75,10.131.1.42
10.128.82.35,10.131.85.42
10.128.96.19,10.131.94.154
10.128.82.21,10.131.84.242
10.128.96.29,10.131.94.194
10.128.96.46,10.131.95.6
10.128.82.14,10.131.84.214
10.128.82.29,10.131.85.18
10.128.96.65,10.131.95.82
10.128.20.18,10.131.20.18
10.128.0.61,10.131.0.242
10.128.0.19,10.131.0.74
10.128.20.31,10.131.20.70
10.128.20.54,10.131.20.162
10.128.20.4,10.131.19.218
10.128.33.8,10.131.66.230
10.128.17.10,10.131.17.10
10.128.20.46,10.131.20.130
10.128.20.25,10.131.20.46
10.128.20.30,10.131.20.66
10.128.20.55,10.131.20.166
10.128.33.10,10.131.66.238
10.128.17.11,10.131.17.14
10.128.20.24,10.131.20.42
10.128.33.17,10.131.67.10
10.128.20.28,10.131.20.58
10.128.20.39,10.131.20.102
10.128.17.13,10.131.17.22
10.128.20.43,10.131.20.118
10.128.20.60,10.131.101.206
10.128.17.18,10.131.17.42
10.128.20.16,10.131.20.10
10.128.20.40,10.131.20.106
10.128.0.12,10.131.0.46
10.128.0.16,10.131.0.62
10.128.20.37,10.131.20.94
10.128.20.47,10.131.20.134
10.128.17.19,10.131.17.46
10.128.29.16,10.131.29.126
10.128.17.90,10.131.99.90
10.128.20.61,10.131.101.210
10.128.20.19,10.131.20.22
10.128.12.11,10.131.13.106
10.128.17.9,10.131.17.6
10.128.17.20,10.131.17.50
10.128.29.5,10.131.29.82
10.128.17.21,10.131.17.54
10.128.12.7,10.131.13.90
10.128.14.24,10.131.15.30
10.128.14.3,10.131.14.202
10.128.17.29,10.131.17.86
10.128.0.14,10.131.0.54
10.128.14.37,10.131.15.82
10.128.12.30,10.131.13.182
10.128.14.6,10.131.14.214
10.128.29.13,10.131.29.114
10.128.14.26,10.131.15.38
10.128.17.31,10.131.17.94
10.128.14.4,10.131.14.206
10.128.29.4,10.131.29.78
10.128.14.19,10.131.15.10
10.128.14.36,10.131.15.78
10.128.12.4,10.131.13.78
10.128.14.20,10.131.15.14
10.128.14.38,10.131.15.86
10.128.29.17,10.131.29.130
10.128.17.89,10.131.99.86
10.128.14.2,10.131.14.198
10.128.17.32,10.131.17.98
10.128.14.27,10.131.15.42
10.128.17.88,10.131.99.82
10.128.29.1,10.131.29.66
10.128.14.32,10.131.15.62
10.128.17.85,10.131.18.54
10.128.14.34,10.131.15.70
10.128.14.40,10.131.15.94
10.128.29.3,10.131.29.74
10.128.12.37,10.131.13.210
10.128.14.39,10.131.15.90
10.128.17.34,10.131.17.106
10.128.12.3,10.131.13.74
10.128.14.12,10.131.14.238
10.128.29.8,10.131.29.94
10.128.14.1,10.131.14.194
10.128.29.25,10.131.29.162
10.128.17.35,10.131.17.110
10.128.14.15,10.131.14.250
10.128.29.20,10.131.29.142
10.128.29.24,10.131.29.158
10.128.29.14,10.131.29.118
10.128.29.27,10.131.29.170
10.128.17.36,10.131.17.114
10.128.29.22,10.131.29.150
10.128.12.15,10.131.13.122
10.128.29.10,10.131.29.102
10.128.17.41,10.131.17.134
10.128.14.31,10.131.15.58
10.128.29.23,10.131.29.154
10.128.12.21,10.131.13.146
10.128.14.30,10.131.15.54
10.128.14.17,10.131.15.2
10.128.17.84,10.131.18.50
10.128.14.28,10.131.15.46
10.128.29.6,10.131.29.86
10.128.12.20,10.131.13.142
10.128.14.14,10.131.14.246
10.128.17.73,10.131.18.6
10.128.14.33,10.131.15.66
10.128.29.18,10.131.29.134
10.128.17.83,10.131.18.46
10.128.17.7,10.131.16.254
10.128.14.7,10.131.14.218
10.128.14.41,10.131.98.218
10.128.14.11,10.131.14.234
10.128.14.16,10.131.14.254
10.128.17.65,10.131.17.230
10.128.14.42,10.131.98.222
10.128.14.13,10.131.14.242
10.128.12.36,10.131.13.206
10.128.14.25,10.131.15.34
10.128.17.56,10.131.17.194
10.128.12.28,10.131.13.174
10.128.12.24,10.131.13.158
10.128.17.81,10.131.18.38
10.128.12.35,10.131.13.202
10.128.17.80,10.131.18.34
10.128.17.53,10.131.17.182
10.128.17.49,10.131.17.166
10.128.17.78,10.131.18.26
10.128.0.27,10.131.0.106
10.128.17.71,10.131.17.254
10.128.17.46,10.131.17.154
10.128.17.68,10.131.17.242
10.128.12.1,10.131.13.66
10.128.17.67,10.131.17.238
10.128.17.66,10.131.17.234
10.128.12.12,10.131.13.110
10.128.17.64,10.131.17.226
10.128.82.49,10.131.85.98
10.128.12.13,10.131.13.114
10.128.17.62,10.131.17.218
10.128.33.1,10.131.66.202
10.128.12.10,10.131.13.102
10.128.17.61,10.131.17.214
10.128.12.2,10.131.13.70
10.128.17.6,10.131.16.250
10.128.17.57,10.131.17.198
10.128.17.91,10.131.99.94
10.128.17.87,10.131.99.78
10.128.12.16,10.131.13.126
10.128.17.55,10.131.17.190
10.128.17.86,10.131.99.74
10.128.17.51,10.131.17.174
10.128.17.27,10.131.17.78
10.128.17.14,10.131.17.26
10.128.17.79,10.131.18.30
10.128.17.28,10.131.17.82
10.128.17.77,10.131.18.22
10.128.17.50,10.131.17.170
