ip,devicetype
10.131.91.166,GP_UPS
10.131.91.142,GP_UPS
10.128.92.21,GP_ROUTER
10.131.91.78,GP_UPS
10.128.92.38,GP_ROUTER
10.131.91.146,GP_UPS
10.128.92.22,GP_ROUTER
10.131.91.82,GP_UPS
10.128.92.39,GP_ROUTER
10.131.91.150,GP_UPS
10.128.92.44,GP_ROUTER
10.131.91.170,GP_UPS
10.128.92.23,GP_ROUTER
10.131.91.86,GP_UPS
10.128.92.40,GP_ROUTER
10.131.91.154,GP_UPS
10.128.92.25,GP_ROUTER
10.128.92.45,GP_ROUTER
10.131.91.94,GP_UPS
10.131.91.174,GP_UPS
10.128.92.41,GP_ROUTER
10.131.91.158,GP_UPS
10.128.0.83,BLOCK_ROUTER
10.128.92.26,GP_ROUTER
10.131.91.98,GP_UPS
10.131.1.74,BLOCK_UPS
10.128.92.27,GP_ROUTER
10.131.91.102,GP_UPS
10.128.92.1,GP_ROUTER
10.131.90.254,GP_UPS
10.128.92.46,GP_ROUTER
10.131.91.178,GP_UPS
10.128.92.2,GP_ROUTER
10.131.91.2,GP_UPS
10.128.92.47,GP_ROUTER
10.131.91.182,GP_UPS
10.128.92.3,GP_ROUTER
10.131.91.6,GP_UPS
10.128.92.4,GP_ROUTER
10.128.92.48,GP_ROUTER
10.131.101.134,GP_UPS
10.128.92.6,GP_ROUTER
10.131.91.18,GP_UPS
10.128.92.7,GP_ROUTER
10.128.92.49,GP_ROUTER
10.131.101.138,GP_UPS
10.131.91.22,GP_UPS
10.128.92.9,GP_ROUTER
10.131.91.30,GP_UPS
10.128.92.50,GP_ROUTER
10.131.101.142,GP_UPS
10.128.92.10,GP_ROUTER
10.131.91.34,GP_UPS
10.128.92.11,GP_ROUTER
10.131.91.38,GP_UPS
10.128.92.51,GP_ROUTER
10.131.101.146,GP_UPS
10.131.91.10,GP_UPS
10.128.92.52,GP_ROUTER
10.131.101.150,GP_UPS
10.128.92.12,GP_ROUTER
10.131.91.42,GP_UPS
10.128.92.13,GP_ROUTER
10.131.91.46,GP_UPS
10.128.92.53,GP_ROUTER
10.131.101.154,GP_UPS
10.128.0.10,BLOCK_ROUTER
10.131.0.38,BLOCK_UPS
10.128.10.6,GP_ROUTER
10.131.11.246,GP_UPS
