id,ip,systemname,pingStatus,snmpStatus,devicetype,location,firstDiscovery,lastDiscovery,operatingsystem,physicalAddr,vendor,profile_name,acronym,request_id,dept,deviceloc,state,logtime,serial_no,locationText,sourceOfPower,dashboardcat,enable,mfm
1469,10.128.54.8,,UNREACHABLE,DISABLED,GP_ROUTER,694,2024-09-28 15:54:54,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 15:54:54,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : BELONDI,,GP_ROUTER,1,0
1470,10.131.53.162,,UNREACHABLE,DISABLED,GP_UPS,694,2024-09-28 15:55:26,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:55:26,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : BELONDI,,GP_UPS,1,0
1471,10.128.54.31,,UNREACHABLE,DISABLED,GP_ROUTER,695,2024-09-28 15:56:08,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 15:56:08,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : LUBHA,,GP_ROUTER,1,0
1472,10.131.53.254,,UNREACHABLE,DISABLED,GP_UPS,695,2024-09-28 15:56:49,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:56:49,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : LUBHA,,GP_UPS,1,0
1473,10.128.54.32,,UNREACHABLE,DISABLED,GP_ROUTER,696,2024-09-28 16:01:29,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 16:01:29,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : MAGEDA,,GP_ROUTER,1,0
1474,10.128.53.31,,UNREACHABLE,DISABLED,GP_ROUTER,697,2024-09-28 16:01:42,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 16:01:42,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : MASUKOKODA,,GP_ROUTER,1,0
1475,10.131.53.66,,UNREACHABLE,DISABLED,GP_UPS,697,2024-09-28 16:02:18,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 16:02:18,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : MASUKOKODA,,GP_UPS,1,0
1476,10.128.54.9,,UNREACHABLE,DISABLED,GP_ROUTER,698,2024-09-28 16:02:54,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 16:02:54,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : BHIRGAON,,GP_ROUTER,1,0
1477,10.131.54.2,,UNREACHABLE,DISABLED,GP_UPS,696,2024-09-28 16:03:22,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 16:03:22,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : MAGEDA,,GP_UPS,1,0
1478,10.131.53.166,,UNREACHABLE,DISABLED,GP_UPS,698,2024-09-28 16:03:37,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 16:03:37,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : BHIRGAON,,GP_UPS,1,0
1479,10.128.54.10,,UNREACHABLE,DISABLED,GP_ROUTER,699,2024-09-28 16:08:50,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 16:08:50,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : BIJAPUR,,GP_ROUTER,1,0
1480,10.128.53.33,"""BNC-KAN-KEKL-GNIRAC1.cgbharatnet.gov.in""",UNREACHABLE,DISABLED,GP_ROUTER,700,2024-09-28 16:09:08,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-10-28 11:14:49,"""CAT2237U2GS""",Cluster : C; District : Kondagaon;  Block : Keskal; GP : NIRACHHINDLI,,GP_ROUTER,1,0
1481,10.131.53.170,,UNREACHABLE,DISABLED,GP_UPS,699,2024-09-28 16:09:10,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 16:09:10,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : BIJAPUR,,GP_UPS,1,0
1482,10.131.53.74,"""BNC-KAN-KEKL-UNIRAC1""",UNREACHABLE,DISABLED,GP_UPS,700,2024-09-28 16:09:53,,,,UNILINE,UPSProfile,,,,,DOWN,2024-10-28 11:14:49,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : NIRACHHINDLI,,GP_UPS,1,0
1483,10.128.54.11,,UNREACHABLE,DISABLED,GP_ROUTER,701,2024-09-28 16:12:31,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 16:12:31,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : BINJOLI,,GP_ROUTER,1,0
1484,10.131.53.174,,UNREACHABLE,DISABLED,GP_UPS,701,2024-09-28 16:12:53,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 16:12:53,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : BINJOLI,,GP_UPS,1,0
1485,10.128.54.12,,UNREACHABLE,DISABLED,GP_ROUTER,702,2024-09-28 16:19:32,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 16:19:32,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : BUDRA,,GP_ROUTER,1,0
1486,10.131.53.178,,UNREACHABLE,DISABLED,GP_UPS,702,2024-09-28 16:19:59,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 16:19:59,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : BUDRA,,GP_UPS,1,0
1487,10.128.53.35,,UNREACHABLE,DISABLED,GP_ROUTER,703,2024-09-28 16:20:31,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-10-28 11:14:49,"""CAT2237U2HV""",Cluster : C; District : Kondagaon;  Block : Keskal; GP : PIPRA,,GP_ROUTER,1,0
1488,10.131.53.82,,UNREACHABLE,DISABLED,GP_UPS,703,2024-09-28 16:21:27,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 16:21:27,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : PIPRA,,GP_UPS,1,0
1489,10.128.53.36,"""BNC-KAN-KEKL-GPRADH1.cgbharatnet.gov.in""",UNREACHABLE,DISABLED,GP_ROUTER,704,2024-09-28 16:31:23,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-10-25 16:09:49,"""CAT2237U2JM""",Cluster : C; District : Kondagaon;  Block : Keskal; GP : PRADHANCHERRA,,GP_ROUTER,1,0
1490,10.131.53.86,"""BNC-KAN-KEKL-UPRADH1	""",UNREACHABLE,DISABLED,GP_UPS,704,2024-09-28 16:32:28,,,,UNILINE,UPSProfile,,,,,DOWN,2024-10-25 16:09:49,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : PRADHANCHERRA,,GP_UPS,1,0
1491,10.128.54.14,,UNREACHABLE,DISABLED,GP_ROUTER,705,2024-09-28 16:32:32,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 16:32:32,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : CHHINARI,,GP_ROUTER,1,0
1492,10.131.53.186,,UNREACHABLE,DISABLED,GP_UPS,705,2024-09-28 16:33:05,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 16:33:05,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : CHHINARI,,GP_UPS,1,0
1493,10.128.54.15,,UNREACHABLE,DISABLED,GP_ROUTER,706,2024-09-28 16:41:07,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 16:41:07,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : DHARLI,,GP_ROUTER,1,0
1494,10.131.53.190,,UNREACHABLE,DISABLED,GP_UPS,706,2024-09-28 16:41:33,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 16:41:33,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : DHARLI,,GP_UPS,1,0
1495,10.128.53.39,,UNREACHABLE,DISABLED,GP_ROUTER,707,2024-09-28 16:47:02,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 16:47:02,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : SALEBHAT,,GP_ROUTER,1,0
1496,10.131.53.98,,UNREACHABLE,DISABLED,GP_UPS,707,2024-09-28 16:47:51,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 16:47:51,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : SALEBHAT,,GP_UPS,1,0
1497,10.128.53.41,,UNREACHABLE,DISABLED,GP_ROUTER,708,2024-09-28 17:07:15,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-10-25 16:09:49,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : SIDHAWAND,,GP_ROUTER,1,0
1498,10.131.53.106,,UNREACHABLE,DISABLED,GP_UPS,708,2024-09-28 17:07:58,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 17:07:58,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : SIDHAWAND,,GP_UPS,1,0
1499,10.128.53.42,"""BNC-KAN-KEKL-GSIKAG1.cgbharatnet.gov.in""",UNREACHABLE,DISABLED,GP_ROUTER,709,2024-09-28 17:15:26,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-10-28 15:54:40,"""CAT2237U2HR""",Cluster : C; District : Kondagaon;  Block : Keskal; GP : SIKAGAON,,GP_ROUTER,1,0
1500,10.131.53.110,"""BNC-KAN-KEKL-USIKAG1""",UNREACHABLE,DISABLED,GP_UPS,709,2024-09-28 17:16:21,,,,UNILINE,UPSProfile,,,,,DOWN,2024-10-28 15:54:40,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : SIKAGAON,,GP_UPS,1,0
1501,10.131.132.82,,UNREACHABLE,DISABLED,RFDevice,576,2024-09-28 17:21:41,,,,MAKSAT,UPSProfile,,,,,DOWN,2024-10-07 16:54:10,,Cluster : C; District : Bastar; Block : Jagdalpur,,RF,1,0
1502,10.128.53.43,"""BNC-KAN-KEKL-GSINGA1.cgbharatnet.gov.in""",UNREACHABLE,DISABLED,GP_ROUTER,710,2024-09-28 17:22:24,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-10-28 12:24:40,"""CAT2237U2H4""",Cluster : C; District : Kondagaon;  Block : Keskal; GP : SINGANPUR,,GP_ROUTER,1,0
1503,10.131.53.114,,UNREACHABLE,DISABLED,GP_UPS,710,2024-09-28 17:23:29,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 17:23:29,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : SINGANPUR,,GP_UPS,1,0
1504,10.131.132.83,,UNREACHABLE,DISABLED,RFDevice,576,2024-09-28 17:24:12,,,,MAKSAT,UPSProfile,,,,,DOWN,2024-09-28 17:24:12,,Cluster : C; District : Bastar;  Block : Jagdalpur; GP : null,,RF,1,0
1505,10.131.132.84,,UNREACHABLE,DISABLED,RFDevice,576,2024-09-28 17:28:02,,,,MAKSAT,UPSProfile,,,,,DOWN,2024-09-28 17:28:02,,Cluster : C; District : Bastar;  Block : Jagdalpur; GP : null,,RF,1,0
1506,10.131.132.98,,UNREACHABLE,DISABLED,RFDevice,576,2024-09-28 17:30:46,,,,MAKSAT,UPSProfile,,,,,DOWN,2024-09-28 17:30:46,,Cluster : C; District : Bastar;  Block : Jagdalpur; GP : null,,RF,1,0
1507,10.131.132.99,,UNREACHABLE,DISABLED,RFDevice,576,2024-09-28 17:32:43,,,,MAKSAT,UPSProfile,,,,,DOWN,2024-09-28 17:32:43,,Cluster : C; District : Bastar;  Block : Jagdalpur; GP : null,,RF,1,0
1508,10.128.53.45,"""BNC-KAN-KEKL-GTOSKA1.cgbharatnet.gov.in""",UNREACHABLE,DISABLED,GP_ROUTER,711,2024-09-28 17:35:00,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-10-28 11:14:49,"""CAT2237U2HJ""",Cluster : C; District : Kondagaon;  Block : Keskal; GP : TOSKAPAL,,GP_ROUTER,1,0
1509,10.131.132.100,,UNREACHABLE,DISABLED,RFDevice,576,2024-09-28 17:36:03,,,,MAKSAT,UPSProfile,,,,,DOWN,2024-10-07 16:54:10,,Cluster : C; District : Bastar;  Block : Jagdalpur; GP : null,,RF,1,0
1510,10.131.53.122,,UNREACHABLE,DISABLED,GP_UPS,711,2024-09-28 17:36:17,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 17:36:17,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : TOSKAPAL,,GP_UPS,1,0
