id,physicalringname,lrname,aendname,bendname,distance,ibclink,priority,aendid,bendid,aendifIndex,bendifIndex,bendip,aendip,physicalsegments,remarks,confirmed,user_name,time_stamp,cluster_name,district_name,block_name
999,DURGKONDAL_Blue,Ring no.01,SADHUMICHAGAON,SURUNGDOH GP ,3.965,,Low,1538.0,1554.0,14,13,10.128.94.35,10.128.94.31,12046,,1,Mukesh,2025-01-31 15:40:12,C,Uttar Bastar Kanker,Durgkondal
1000,DURGKONDAL_Blue,Ring no.01,SURUNGDOH GP ,KARAKI,5.197,,Low,1554.0,1552.0,14,13,10.128.94.18,10.128.94.35,12047,,1,Mukesh,2025-01-31 15:49:20,C,Uttar Bastar Kanker,Durgkondal
1001,DURGKONDAL_Blue,Ring no.01,KARAKI,KONDRUJ,3.189,,Low,1552.0,1572.0,14,13,10.128.94.39,10.128.94.18,12048,,1,Mukesh,2025-01-31 15:50:00,C,Uttar Bastar Kanker,Durgkondal
1002,DURGKONDAL_Blue,Ring no.01,KONDRUJ,JADEKHURSE,5.173,,Low,1572.0,1533.0,14,13,10.128.94.15,10.128.94.39,12049,,1,Mukesh,2025-01-31 15:50:51,C,Uttar Bastar Kanker,Durgkondal
1003,DURGKONDAL_Blue,Ring no.01,JADEKHURSE,PARBHELI,3.247,,Low,1533.0,1576.0,14,13,10.128.94.40,10.128.94.15,12050,,1,Mukesh,2025-01-31 15:51:19,C,Uttar Bastar Kanker,Durgkondal
1006,DURGKONDAL_Blue,Ring no.02,Durgkondal,SARADHUDHAMRE,20.305,,High,1527.0,1542.0,85,13,10.128.94.32,10.128.0.85,"12036,12037",,0,,,C,Uttar Bastar Kanker,Durgkondal
1007,DURGKONDAL_Blue,Ring no.02,SARADHUDHAMRE,PACHANGI,16.757,,High,1542.0,1584.0,14,13,10.128.94.27,10.128.94.32,"12038,12039",,1,Mukesh,2025-03-06 14:10:51,C,Uttar Bastar Kanker,Durgkondal
1008,DURGKONDAL_Blue,Ring no.02,PACHANGI,MANGAHOOR,8.733,,Low,1584.0,1578.0,14,13,10.128.94.25,10.128.94.27,12040,,1,Mukesh,2025-03-06 14:11:26,C,Uttar Bastar Kanker,Durgkondal
1009,DURGKONDAL_Blue,Ring no.02,MANGAHOOR,HAMATWAHI,7.54,,Low,1578.0,1601.0,14,13,10.128.94.12,10.128.94.25,12041,,1,Mukesh,2025-01-31 15:56:27,C,Uttar Bastar Kanker,Durgkondal
1012,DURGKONDAL_Blue,Ring no.02,KODEKHURSE,BARHELI,28.922,,Low,1570.0,1532.0,14,13,10.128.94.2,10.128.94.22,"12044,12045,12046",,1,Mukesh,2025-01-31 15:57:25,C,Uttar Bastar Kanker,Durgkondal
